unset key
set xrange[-10:70]
set yrange[-10:70]
set size ratio -1
set parametric
set trange [0:7]
set isosamples 12
20 10
19.1691 12.7088
19.1682 12.7119
19.1672 12.7149
19.1663 12.7179
19.1654 12.7209
19.1644 12.7239
19.1635 12.727
19.1626 12.73
19.1617 12.733
19.1607 12.736
19.1598 12.7391
19.1589 12.7421
19.158 12.7451
19.157 12.7481
19.1561 12.7512
19.1552 12.7542
19.1542 12.7572
19.1533 12.7602
19.1524 12.7632
19.1515 12.7663
19.1505 12.7693
19.1496 12.7723
19.1487 12.7753
19.1478 12.7784
19.1468 12.7814
19.1459 12.7844
19.145 12.7874
19.144 12.7905
19.1431 12.7935
19.1422 12.7965
19.1413 12.7995
19.1403 12.8025
19.1394 12.8056
19.1385 12.8086
19.1376 12.8116
19.1366 12.8146
19.1357 12.8177
19.1348 12.8207
19.1338 12.8237
19.1329 12.8267
19.132 12.8298
19.1311 12.8328
19.1301 12.8358
19.1292 12.8388
19.1283 12.8418
19.1274 12.8449
19.1264 12.8479
19.1255 12.8509
19.1246 12.8539
19.1236 12.857
19.1227 12.86
19.1218 12.863
19.1209 12.866
19.1199 12.8691
plot 0,0  , 8.57143*t,0 , 8.57143*t,60 , 0,8.57143*t , 60,8.57143*t , 12.957+2*cos(t),9.46953+2*sin(t) , 19.119+2*cos(t),12.8721+2*sin(t) , 32.9928+2*cos(t),9.73851+2*sin(t) , 38.9652+2*cos(t),12.8203+2*sin(t) , 48.2997+2*cos(t),12.4767+2*sin(t) , 7.45154+2*cos(t),21.5907+2*sin(t) , 17.0569+2*cos(t),20.6028+2*sin(t) , 30.9906+2*cos(t),17.1639+2*sin(t) , 42.8417+2*cos(t),19.0255+2*sin(t) , 47.5355+2*cos(t),21.718+2*sin(t) , 8.02504+2*cos(t),27.7363+2*sin(t) , 17.005+2*cos(t),29.7649+2*sin(t) , 27.0477+2*cos(t),29.4442+2*sin(t) , 42.2438+2*cos(t),31.9975+2*sin(t) , 53.0017+2*cos(t),29.8777+2*sin(t) , 7.01562+2*cos(t),40.3442+2*sin(t) , 22.3157+2*cos(t),41.9138+2*sin(t) , 27.0055+2*cos(t),40.2408+2*sin(t) , 37.0159+2*cos(t),40.3465+2*sin(t) , 53.0007+2*cos(t),39.8567+2*sin(t) , 9.24014+2*cos(t),47.0935+2*sin(t) , 20.5436+2*cos(t),47.0454+2*sin(t) , 30.8281+2*cos(t),47.1122+2*sin(t) , 41.9208+2*cos(t),52.3098+2*sin(t) , 49.0593+2*cos(t),47.1469+2*sin(t)
19.119 12.8721
19.1181 12.8751
19.1172 12.8781
19.1162 12.8812
19.1153 12.8842
19.1144 12.8872
19.1134 12.8902
19.1125 12.8932
19.1116 12.8963
19.1107 12.8993
19.1097 12.9023
19.1088 12.9053
19.1079 12.9084
19.107 12.9114
19.106 12.9144
19.1051 12.9174
19.1042 12.9205
19.1032 12.9235
19.1023 12.9265
19.1014 12.9295
19.1005 12.9325
19.0995 12.9356
19.0986 12.9386
19.0977 12.9416
19.0968 12.9446
19.0958 12.9477
19.0949 12.9507
19.094 12.9537
19.093 12.9567
19.0921 12.9598
19.0912 12.9628
19.0903 12.9658
19.0893 12.9688
19.0884 12.9718
19.0875 12.9749
19.0866 12.9779
19.0856 12.9809
19.0847 12.9839
19.0838 12.987
19.0828 12.99
19.0819 12.993
19.081 12.996
19.0801 12.9991
19.0791 13.0021
19.0782 13.0051
19.0773 13.0081
19.0764 13.0112
19.0754 13.0142
19.0745 13.0172
19.0736 13.0202
19.0726 13.0232
19.0717 13.0263
19.0708 13.0293
19.0699 13.0323
19.0689 13.0353
19.068 13.0384
19.0671 13.0414
19.0661 13.0444
19.0652 13.0474
19.0643 13.0505
19.0634 13.0535
19.0624 13.0565
19.0615 13.0595
19.0606 13.0625
19.0597 13.0656
19.0587 13.0686
19.0578 13.0716
19.0569 13.0746
19.0559 13.0777
19.055 13.0807
19.0541 13.0837
19.0532 13.0867
19.0522 13.0898
19.0513 13.0928
19.0504 13.0958
19.0495 13.0988
19.0485 13.1018
19.0476 13.1049
19.0467 13.1079
19.0457 13.1109
19.0448 13.1139
19.0439 13.117
19.043 13.12
19.042 13.123
19.0411 13.126
19.0402 13.1291
19.0393 13.1321
19.0383 13.1351
19.0374 13.1381
19.0365 13.1412
19.0355 13.1442
19.0346 13.1472
19.0337 13.1502
19.0328 13.1532
19.0318 13.1563
19.0309 13.1593
19.03 13.1623
19.0291 13.1653
19.0281 13.1684
19.0272 13.1714
19.0263 13.1744
19.0253 13.1774
19.0244 13.1805
19.0235 13.1835
19.0226 13.1865
19.0216 13.1895
